,행정구역,연도,명
617,남해군,2016,545426
618,남해군,2017,538207
619,남해군,2018,531518
620,남해군,2019,527264
621,남해군,2020,517617
622,남해군,2021,510847
623,남해군,2022,126711
624,노원구,2011,7280575
625,노원구,2012,7209182
626,노원구,2013,7128384
627,노원구,2014,7035778
628,노원구,2015,6946752
629,노원구,2016,6863893
630,노원구,2017,6737233
631,노원구,2018,6585372
632,노원구,2019,6451737
633,노원구,2020,6335790
634,노원구,2021,6187123
635,노원구,2022,1531818
636,논산시,2011,1534842
637,논산시,2012,1520795
638,논산시,2013,1512657
639,논산시,2014,1502324
640,논산시,2015,1492644
641,논산시,2016,1482647
642,논산시,2017,1470130
643,논산시,2018,1453900
644,논산시,2019,1436020
645,논산시,2020,1411779
646,논산시,2021,1383981
647,논산시,2022,342813
648,단양군,2011,380186
649,단양군,2012,377060
650,단양군,2013,373715
651,단양군,2014,372120
652,단양군,2015,369982
653,단양군,2016,367214
654,단양군,2017,364580
655,단양군,2018,363231
656,단양군,2019,359900
657,단양군,2020,352566
658,단양군,2021,343624
659,단양군,2022,84546
660,단원구,2011,4029455
661,단원구,2012,4007462
662,단원구,2013,3985851
663,단원구,2014,3948748
664,단원구,2015,3870538
665,단원구,2016,3794616
666,단원구,2017,3726975
667,단원구,2018,3635329
668,단원구,2019,3666863
669,단원구,2020,3659707
670,단원구,2021,3627249
671,단원구,2022,905450
672,달서구,2011,7281667
673,달서구,2012,7276589
674,달서구,2013,7307143
675,달서구,2014,7288013
676,달서구,2015,7271601
677,달서구,2016,7154156
678,달서구,2017,7026412
679,달서구,2018,6902381
680,달서구,2019,6852676
681,달서구,2020,6775217
682,달서구,2021,6611263
683,달서구,2022,1630163
684,달성군,2011,2150338
685,달성군,2012,2198454
686,달성군,2013,2212976
687,달성군,2014,2214824
688,달성군,2015,2263463
689,달성군,2016,2475445
690,달성군,2017,2781158
691,달성군,2018,2975050
692,달성군,2019,3054199
693,달성군,2020,3092382
694,달성군,2021,3133931
695,달성군,2022,786690
696,담양군,2011,565923
697,담양군,2012,568359
698,담양군,2013,568797
699,담양군,2014,567434
700,담양군,2015,563627
701,담양군,2016,565470
702,담양군,2017,566893
703,담양군,2018,564216
704,담양군,2019,557389
705,담양군,2020,553396
706,담양군,2021,556832
707,담양군,2022,138568
708,당진군,2011,1770387
709,당진군,2012,0
710,당진군,2013,0
711,당진군,2014,0
712,당진군,2015,0
713,당진군,2016,0
714,당진군,2017,0
715,당진군,2018,0
716,당진군,2019,0
717,당진군,2020,0
718,당진군,2021,0
719,당진군,2022,0
720,당진시,2011,0
721,당진시,2012,1835575
722,당진시,2013,1889845
723,당진시,2014,1939031
724,당진시,2015,1968537
725,당진시,2016,1988526
726,당진시,2017,2006776
727,당진시,2018,2011493
728,당진시,2019,2008366
729,당진시,2020,1994519
730,당진시,2021,1999510
731,당진시,2022,500915
732,대덕구,2011,2482433
733,대덕구,2012,2470886
734,대덕구,2013,2463241
735,대덕구,2014,2437614
736,대덕구,2015,2388549
737,대덕구,2016,2335962
738,대덕구,2017,2273585
739,대덕구,2018,2212902
740,대덕구,2019,2150830
741,대덕구,2020,2106373
742,대덕구,2021,2102283
743,대덕구,2022,526235
744,덕양구,2011,4717699
745,덕양구,2012,4704335
746,덕양구,2013,4833201
747,덕양구,2014,5022655
748,덕양구,2015,5197664
749,덕양구,2016,5329910
750,덕양구,2017,5369323
751,덕양구,2018,5408695
752,덕양구,2019,5474262
753,덕양구,2020,5677346
754,덕양구,2021,5769045
755,덕양구,2022,1451116
756,덕진구,2011,3404115
757,덕진구,2012,3412095
758,덕진구,2013,3424258
759,덕진구,2014,3441546
760,덕진구,2015,3453486
761,덕진구,2016,3453015
762,덕진구,2017,3489204
763,덕진구,2018,3601710
764,덕진구,2019,3752356
765,덕진구,2020,3801456
766,덕진구,2021,3837041
767,덕진구,2022,964363
768,도봉구,2011,4404195
769,도봉구,2012,4363516
770,도봉구,2013,4326309
771,도봉구,2014,4274635
772,도봉구,2015,4233514
773,도봉구,2016,4197855
774,도봉구,2017,4150864
775,도봉구,2018,4100166
776,도봉구,2019,4035329
777,도봉구,2020,3948530
778,도봉구,2021,3843138
779,도봉구,2022,949879
780,동구,2011,12530789
781,동구,2012,12617794
782,동구,2013,12596068
783,동구,2014,12536584
784,동구,2015,12409346
785,동구,2016,12274620
786,동구,2017,12132788
787,동구,2018,11956222
788,동구,2019,11847449
789,동구,2020,11736000
790,동구,2021,11672673
791,동구,2022,2906319
792,동남구,2011,3006641
793,동남구,2012,3072052
794,동남구,2013,3115742
795,동남구,2014,3142136
796,동남구,2015,3131697
797,동남구,2016,3121213
798,동남구,2017,3082566
799,동남구,2018,3075229
800,동남구,2019,3102108
801,동남구,2020,3107192
802,동남구,2021,3074521
803,동남구,2022,765290
804,동대문구,2011,4402012
805,동대문구,2012,4378993
806,동대문구,2013,4369354
807,동대문구,2014,4356807
808,동대문구,2015,4347442
809,동대문구,2016,4294918
810,동대문구,2017,4234141
811,동대문구,2018,4194101
812,동대문구,2019,4158974
813,동대문구,2020,4139764
814,동대문구,2021,4063321
815,동대문구,2022,1013282
816,동두천시,2011,1151392
817,동두천시,2012,1160259
818,동두천시,2013,1168252
819,동두천시,2014,1169552
820,동두천시,2015,1170936
821,동두천시,2016,1177814
822,동두천시,2017,1170369
823,동두천시,2018,1160486
824,동두천시,2019,1142730
825,동두천시,2020,1130154
826,동두천시,2021,1123015
827,동두천시,2022,280268
828,동래구,2011,3407901
829,동래구,2012,3372264
830,동래구,2013,3319072
831,동래구,2014,3327868
832,동래구,2015,3284184
833,동래구,2016,3271086
834,동래구,2017,3277989
835,동래구,2018,3228289
836,동래구,2019,3223044
837,동래구,2020,3263268
838,동래구,2021,3220312
839,동래구,2022,818274
840,동안구,2011,4242980
841,동안구,2012,4271340
842,동안구,2013,4295750
843,동안구,2014,4260260
844,동안구,2015,4224381
845,동안구,2016,4187112
846,동안구,2017,4074981
847,동안구,2018,3945713
848,동안구,2019,3885599
849,동안구,2020,3791558
850,동안구,2021,3726939
851,동안구,2022,938171
852,동작구,2011,4827793
853,동작구,2012,4834960
854,동작구,2013,4915556
855,동작구,2014,4921421
856,동작구,2015,4861028
857,동작구,2016,4819205
858,동작구,2017,4788589
859,동작구,2018,4741159
860,동작구,2019,4775632
861,동작구,2020,4729551
862,동작구,2021,4654097
863,동작구,2022,1156985
864,동해시,2011,1138525
865,동해시,2012,1131381
866,동해시,2013,1133696
867,동해시,2014,1135399
868,동해시,2015,1129111
869,동해시,2016,1121773
870,동해시,2017,1114817
871,동해시,2018,1100892
872,동해시,2019,1087956
873,동해시,2020,1085326
874,동해시,2021,1080867
875,동해시,2022,269799
876,마산합포구,2011,2239858
877,마산합포구,2012,2231394
878,마산합포구,2013,2212078
879,마산합포구,2014,2185601
880,마산합포구,2015,2181365
881,마산합포구,2016,2187729
882,마산합포구,2017,2180551
883,마산합포구,2018,2177247
884,마산합포구,2019,2153204
885,마산합포구,2020,2105033
886,마산합포구,2021,2158822
887,마산합포구,2022,543880
888,마산회원구,2011,2689984
889,마산회원구,2012,2666165
890,마산회원구,2013,2647890
891,마산회원구,2014,2603473
892,마산회원구,2015,2546445
893,마산회원구,2016,2538667
894,마산회원구,2017,2485797
895,마산회원구,2018,2407745
896,마산회원구,2019,2355714
897,마산회원구,2020,2309383
898,마산회원구,2021,2262383
899,마산회원구,2022,558272
900,마포구,2011,4704081
901,마포구,2012,4646030
