,시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),연간유지관리비,매립지 관리인원,연도,설치비
112,부산광역시,1,747922,24494000,14963646,9530354,291432,303561,4363,31,2017,363802
113,대구광역시,1,853400,32378541,12291484,20087057,300849,282104,7832,54,2017,202449
114,인천광역시,5,15418818,289347381,135686619,153660762,3400695,3274656,426271,253,2017,378212
115,광주광역시,1,337860,9480000,2656795,6823205,169010,118307,3134,32,2017,156200
116,대전광역시,1,695877,8762000,6692071,2069929,305002,333379,5470,46,2017,154158
117,울산광역시,2,360276,7064656,4888492,2176164,197144,117189,911,16,2017,107660
118,세종특별자치시,2,27818,296592,59033,237559,15754,9606,284,3,2017,8964
119,경기도,9,571473,8285336,3874846,4410490,129931,113435,815366,43,2017,172104
120,강원도,24,1269628,18648568,12961104,5687464,604962,452316,27723,145,2017,372440
121,충청북도,13,455285,5721099,4080474,1640625,142915,142272,3437,55,2017,189722
122,충청남도,15,628032,7670004,4128980,3541024,125104,101567,4176,57,2017,215380
123,전라북도,13,818063,8592899,7026275,1566624,254429,211412,3757,74,2017,209355
124,전라남도,62,1347703,19486918,11310434,8176484,414824,306569,12729,266,2017,343934
125,경상북도,35,1065049,15957782,7922513,8035269,409459,292295,10907,154,2017,353990
126,경상남도,27,2049254,23817908,12810865,11007043,478980,415046,136923,123,2017,354431
127,제주특별자치도,9,314058,3410812,3189660,221152,236612,207424,15210,36,2017,69236
128,부산광역시,1,747922,24494000,17968244,6525756,290483,302572,4761,31,2018,363802
129,대구광역시,1,853400,32378541,12615652,19762889,324168,301056,7933,59,2018,214894
130,인천광역시,5,15335735,289347381,153323162,136024219,3551310,3117779,441081,325,2018,501698
131,광주광역시,1,337860,9480000,2967878,6512122,332132,236653,3647,31,2018,156200
132,대전광역시,1,695788,8762000,6929103,1832897,246329,299879,5977,48,2018,154858
133,울산광역시,1,158500,2615000,828004,1786996,226288,127340,1124,16,2018,90463
134,세종특별자치시,2,27818,296592,69964,226628,10931,6665,334,3,2018,8964
135,경기도,9,571473,8285336,4061142,4224194,160831,103614,4938,76,2018,172562
136,강원도,24,1326178,19551723,13437260,6114463,465457,360555,15048,145,2018,401931
137,충청북도,13,488435,6081889,4272006,1809883,191081,216194,8090,48,2018,201144
138,충청남도,15,628032,7670004,4319078,3350926,186877,115149,4617,68,2018,215617
139,전라북도,14,818063,8592899,7170873,1422026,249314,192331,3976,70,2018,209355
140,전라남도,62,1347583,19542635,11722264,7820371,411731,297502,14327,240,2018,359494
141,경상북도,34,1049899,15918922,8274416,7644506,437189,281412,12635,165,2018,353190
142,경상남도,26,2044094,23794096,13281519,10512577,398357,334673,272126,123,2018,367017
143,제주특별자치도,9,314058,3410812,3352150,58662,161258,142597,16419,39,2018,69236
144,부산광역시,1,747922,24494000,15566090,8927910,311961,232256,4914,31,2019,363802
145,대구광역시,1,853400,32378541,12971602,19406939,355950,322243,8634,52,2019,214894
146,인천광역시,5,15335735,289347381,156889120,132458261,3565970,2879634,459971,350,2019,501569
147,광주광역시,1,337860,9480000,3549399,5930601,581520,210767,3832,32,2019,156200
