행정구역별,year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
북구,2010,0.9,412.3,312218
북구,2010,0.9,412.3,452505
북구,2010,0.9,412.3,466866
북구,2010,0.9,412.3,177488
북구,2010,0.9,403.9,312218
북구,2010,0.9,403.9,452505
북구,2010,0.9,403.9,466866
북구,2010,0.9,403.9,177488
북구,2010,0.9,151.7,312218
북구,2010,0.9,151.7,452505
북구,2010,0.9,151.7,466866
북구,2010,0.9,151.7,177488
북구,2010,0.9,261.4,312218
북구,2010,0.9,261.4,452505
북구,2010,0.9,261.4,466866
북구,2010,0.9,261.4,177488
북구,2010,0.9,412.3,312218
북구,2010,0.9,412.3,452505
북구,2010,0.9,412.3,466866
북구,2010,0.9,412.3,177488
북구,2010,0.9,403.9,312218
북구,2010,0.9,403.9,452505
북구,2010,0.9,403.9,466866
북구,2010,0.9,403.9,177488
북구,2010,0.9,151.7,312218
북구,2010,0.9,151.7,452505
북구,2010,0.9,151.7,466866
북구,2010,0.9,151.7,177488
북구,2010,0.9,261.4,312218
북구,2010,0.9,261.4,452505
북구,2010,0.9,261.4,466866
북구,2010,0.9,261.4,177488
북구,2010,0.9,412.3,312218
북구,2010,0.9,412.3,452505
북구,2010,0.9,412.3,466866
북구,2010,0.9,412.3,177488
북구,2010,0.9,403.9,312218
북구,2010,0.9,403.9,452505
북구,2010,0.9,403.9,466866
북구,2010,0.9,403.9,177488
북구,2010,0.9,151.7,312218
북구,2010,0.9,151.7,452505
북구,2010,0.9,151.7,466866
북구,2010,0.9,151.7,177488
해운대구,2010,0.9,371.4,426729
사하구,2010,0.9,324.7,358730
금정구,2010,0.9,220.0,255419
연제구,2010,0.8,178.9,212696
수영구,2010,0.8,148.0,178267
사상구,2010,1.1,279.2,257843
기장군,2010,0.8,81.8,102557
대구광역시,2010,1.0,2584.8,2511676
수성구,2010,0.8,373.4,461988
달서구,2010,0.9,535.3,607083
달성군,2010,1.3,228.4,178899
인천광역시,2010,0.8,2317.4,2758296
연수구,2010,0.7,191.7,279230
남동구,2010,0.6,277.0,473423
부평구,2010,0.9,484.3,567493
계양구,2010,0.8,266.1,347810
미추홀구,2010,-,-,-
강화군,2010,1.0,66.1,67104
옹진군,2010,1.1,19.7,18739
광주광역시,2010,1.0,1396.9,1454636
광산구,2010,0.8,293.4,363239
대전광역시,2010,1.0,1557.6,1503664
유성구,2010,1.0,274.6,281692
대덕구,2010,1.2,254.9,207549
울산광역시,2010,1.0,1091.0,1126298
울주군,2010,0.9,181.1,201000
