행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
부산광역시,금정구,2011,0.9,219.1,254720
부산광역시,강서구,2011,1.3,81.2,64733
부산광역시,연제구,2011,0.8,177.2,213326
부산광역시,수영구,2011,0.8,143.3,176691
부산광역시,사상구,2011,1.1,273.2,254413
부산광역시,기장군,2011,0.8,86.4,108095
대구광역시,중구,2011,2.4,182.7,76600
대구광역시,동구,2011,1,340.7,341206
대구광역시,서구,2011,1.1,246.6,222619
대구광역시,남구,2011,1.3,212.1,169095
대구광역시,북구,2011,1,430,449775
대구광역시,수성구,2011,0.9,404.9,461083
대구광역시,달서구,2011,1,582.6,606542
대구광역시,달성군,2011,1.2,225.4,180351
인천광역시,중구,2011,2.2,207.7,93581
인천광역시,동구,2011,1.5,117.3,78692
인천광역시,남구,2011,0.7,308.7,417996
인천광역시,연수구,2011,0.5,147.7,287903
인천광역시,남동구,2011,0.6,281.5,495469
인천광역시,부평구,2011,0.9,483.5,560936
인천광역시,계양구,2011,0.7,234.7,344299
인천광역시,서구,2011,0.5,222.3,436134
인천광역시,미추홀구,2011,-,-,-
인천광역시,강화군,2011,0.9,61.5,66779
인천광역시,옹진군,2011,1.2,23.7,19485
광주광역시,동구,2011,1.5,162.4,106495
광주광역시,서구,2011,1,326.2,317936
광주광역시,남구,2011,0.9,204.4,219041
광주광역시,북구,2011,0.8,352.7,444483
광주광역시,광산구,2011,0.8,288.2,375509
대전광역시,동구,2011,1.2,294.6,251285
대전광역시,중구,2011,1,266.4,265502
대전광역시,서구,2011,0.9,443.8,499124
대전광역시,유성구,2011,0.9,271.7,294353
대전광역시,대덕구,2011,1.2,242.7,205339
울산광역시,중구,2011,1,222.5,232634
울산광역시,남구,2011,1.1,384.5,343504
울산광역시,동구,2011,1.1,188.7,172172
울산광역시,북구,2011,1,174.8,182504
울산광역시,울주군,2011,1.1,220.8,204680
경기도,수원시,2011,0.9,1027.2,1088489
경기도,성남시,2011,0.8,772,979323
경기도,의정부시,2011,1.3,579,430400
경기도,안양시,2011,0.7,457.2,615642
경기도,부천시,2011,0.8,738.7,872452
경기도,광명시,2011,0.8,276.1,355226
경기도,평택시,2011,0.9,395.5,426886
경기도,동두천시,2011,1.1,105.2,96253
경기도,안산시,2011,0.6,445,715586
경기도,고양시,2011,0.9,877.2,961239
경기도,과천시,2011,1.1,78.2,71955
경기도,구리시,2011,1,195.6,194881
경기도,남양주시,2011,0.8,436.5,578485
경기도,오산시,2011,0.9,168.3,193892
경기도,시흥시,2011,0.7,300.4,401149
경기도,군포시,2011,1.1,314.1,287294
경기도,의왕시,2011,0.7,102.9,149607
경기도,하남시,2011,0.9,131.1,148397
경기도,용인시,2011,0.9,772.3,896044
경기도,파주시,2011,1.2,436,378790
경기도,이천시,2011,1.2,248.7,204566
경기도,안성시,2011,1.6,292.6,180743
경기도,김포시,2011,0.8,213,256994
경기도,화성시,2011,0.6,327.4,516765
경기도,광주시,2011,0.9,233.8,265222
경기도,양주시,2011,0.9,181.8,200360
경기도,포천시,2011,1.1,174.5,157967
경기도,여주시,2011,-,-,-
경기도,경기 여주군,2011,3,322.7,109120
경기도,연천군,2011,1.3,56.2,44900
경기도,가평군,2011,1,59.5,59358
경기도,양평군,2011,0.8,79.5,99430
강원도,춘천시,2011,1.8,481.6,272805
강원도,원주시,2011,1.1,346,320536
강원도,강릉시,2011,1.6,350.5,217571
강원도,동해시,2011,1.2,117.8,95804
강원도,태백시,2011,1.7,86.6,50176
강원도,속초시,2011,2,168.2,83745
강원도,삼척시,2011,1.4,104.4,72312
강원도,홍천군,2011,1,68.2,69899
강원도,횡성군,2011,1.1,48.6,44360
강원도,영월군,2011,1,41.4,40199
강원도,평창군,2011,1,45.2,43577
강원도,정선군,2011,1.2,48.5,40181
강원도,철원군,2011,1,47.9,48084
강원도,화천군,2011,1.7,42.6,24945
강원도,양구군,2011,1.6,35.4,22285
강원도,인제군,2011,2.1,66,31970
강원도,고성군,2011,2.4,71.4,30057
강원도,양양군,2011,1.4,38.2,27942
충청북도,충북 청주시,2011,1.2,788.4,661946
충청북도,충주시,2011,1,209.4,208433
충청북도,제천시,2011,1,137.7,137689
충청북도,청주시,2011,-,-,-
충청북도,충북 청원군,2011,1.1,172.8,158369
충청북도,보은군,2011,1.3,45,34717
충청북도,옥천군,2011,0.9,46.5,53496
충청북도,영동군,2011,0.7,37.6,50621
충청북도,진천군,2011,1.7,106.3,63051
충청북도,괴산군,2011,0.8,31.3,37333
충청북도,음성군,2011,1.1,99,91644
충청북도,단양군,2011,1.3,42,31595
충청북도,증평군,2011,1.1,38,34009
충청남도,천안시,2011,1.6,932.1,571377
충청남도,공주시,2011,1.1,135.5,124748
충청남도,보령시,2011,1,104.7,106421
충청남도,아산시,2011,0.9,241,274523
충청남도,서산시,2011,1.1,170,161489
충청남도,논산시,2011,1.4,174.5,127533
충청남도,계룡시,2011,2,86.2,42942
충청남도,당진시,2011,-,-,-
충청남도,금산군,2011,0.8,43.2,56030
충청남도,충남 연기군,2011,0.6,52.3,82890
충청남도,부여군,2011,0.8,58,74004
충청남도,서천군,2011,0.6,38.7,59541
충청남도,청양군,2011,0.9,28.4,32291
충청남도,홍성군,2011,0.7,60.6,88108
충청남도,예산군,2011,0.8,68.3,86421
충청남도,태안군,2011,1,62.8,62747
충청남도,충남 당진군,2011,1,147.7,150219
전라북도,전주시,2011,1,616.3,645894
전라북도,군산시,2011,1.2,319.8,275659
전라북도,익산시,2011,1,316.4,309804
전라북도,정읍시,2011,0.6,76.3,120466
전라북도,남원시,2011,1,84.5,87455
전라북도,김제시,2011,0.7,62.3,93111
전라북도,완주군,2011,1.9,157.1,84660
전라북도,진안군,2011,0.7,20.4,28473
전라북도,무주군,2011,0.9,22,25863
전라북도,장수군,2011,0.9,19.8,23215
전라북도,임실군,2011,0.5,16.4,30789
전라북도,순창군,2011,0.8,22.4,29497
전라북도,고창군,2011,0.7,41.5,60065
전라북도,부안군,2011,0.9,55.4,59080
전라남도,목포시,2011,1.2,302.3,244871
전라남도,여수시,2011,1.4,405.8,292750
전라남도,순천시,2011,0.9,245.6,272201
전라남도,나주시,2011,1.1,92.8,88243
전라남도,광양시,2011,1,144,150725
전라남도,담양군,2011,0.8,37.5,47819
전라남도,곡성군,2011,0.6,18.7,31332
전라남도,구례군,2011,0.7,19.5,27422
전라남도,고흥군,2011,0.8,60.2,72607
전라남도,보성군,2011,0.7,32.8,47894
전라남도,화순군,2011,0.6,43.9,68985
전라남도,장흥군,2011,0.9,39.7,42552
전라남도,강진군,2011,0.6,24.2,41599
전라남도,해남군,2011,0.7,53.5,78346
전라남도,영암군,2011,0.6,35,60139
전라남도,무안군,2011,0.8,59.6,75718
전라남도,함평군,2011,0.5,18.4,36134
전라남도,영광군,2011,0.9,48.5,56863
전라남도,장성군,2011,0.4,19.6,46245
전라남도,완도군,2011,1.1,61.4,54037
전라남도,진도군,2011,0.7,23.7,33502
전라남도,신안군,2011,0.9,42.1,44355
경상북도,포항시,2011,1.2,643.9,517088
경상북도,경주시,2011,1,268.8,265488
