시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,매립지 관리인원,연도
경상남도,27,2049254,23817908,12292146,11525762,467671,386763,79907,259959,14565,12226,126,2016
제주특별자치도,10,320648,3431942,2975230,456712,168435,170536,22647,49289,0,3664,37,2016
부산광역시,1,747922,24494000,14963646,9530354,291432,303561,88663,275139,0,4363,31,2017
대구광역시,1,853400,32378541,12291484,20087057,300849,282104,27458,174991,0,7832,54,2017
인천광역시,5,15418818,289347381,135686619,153660762,3400695,3274656,2400,375812,0,426271,253,2017
광주광역시,1,337860,9480000,2656795,6823205,169010,118307,46860,109340,0,3134,32,2017
대전광역시,1,695877,8762000,6692071,2069929,305002,333379,8043,146115,0,5470,46,2017
울산광역시,2,360276,7064656,4888492,2176164,197144,117189,19398,17197,71065,911,16,2017
세종특별자치시,2,27818,296592,59033,237559,15754,9606,1500,1964,5500,284,3,2017
경기도,9,571473,8285336,3874846,4410490,129931,113435,49551,84238,38315,815366,43,2017
강원도,24,1269628,18648568,12961104,5687464,604962,452316,108677,225280,38483,27723,145,2017
충청북도,13,455285,5721099,4080474,1640625,142915,142272,63034,108498,18190,3437,55,2017
충청남도,15,628032,7670004,4128980,3541024,125104,101567,49574,165806,0,4176,57,2017
전라북도,13,818063,8592899,7026275,1566624,254429,211412,70023,109106,30226,3757,74,2017
전라남도,62,1347703,19486918,11310434,8176484,414824,306569,122117,184714,37103,12729,266,2017
경상북도,35,1065049,15957782,7922513,8035269,409459,292295,101654,249930,2406,10907,154,2017
경상남도,27,2049254,23817908,12810865,11007043,478980,415046,79907,259959,14565,136923,123,2017
제주특별자치도,9,314058,3410812,3189660,221152,236612,207424,21147,48089,0,15210,36,2017
부산광역시,1,747922,24494000,17968244,6525756,290483,302572,88663,275139,0,4761,31,2018
대구광역시,1,853400,32378541,12615652,19762889,324168,301056,19591,195303,0,7933,59,2018
인천광역시,5,15335735,289347381,153323162,136024219,3551310,3117779,2400,499298,0,441081,325,2018
광주광역시,1,337860,9480000,2967878,6512122,332132,236653,46860,109340,0,3647,31,2018
대전광역시,1,695788,8762000,6929103,1832897,246329,299879,8253,146605,0,5977,48,2018
울산광역시,1,158500,2615000,828004,1786996,226288,127340,19398,0,71065,1124,16,2018
세종특별자치시,2,27818,296592,69964,226628,10931,6665,1500,1964,5500,334,3,2018
경기도,9,571473,8285336,4061142,4224194,160831,103614,49551,84696,38315,4938,76,2018
강원도,24,1326178,19551723,13437260,6114463,465457,360555,118468,244980,38483,15048,145,2018
충청북도,13,488435,6081889,4272006,1809883,191081,216194,66381,116573,18190,8090,48,2018
충청남도,15,628032,7670004,4319078,3350926,186877,115149,49574,166043,0,4617,68,2018
전라북도,14,818063,8592899,7170873,1422026,249314,192331,70023,109106,30226,3976,70,2018
전라남도,62,1347583,19542635,11722264,7820371,411731,297502,123877,193521,42096,14327,240,2018
경상북도,34,1049899,15918922,8274416,7644506,437189,281412,101654,249130,2406,12635,165,2018
경상남도,26,2044094,23794096,13281519,10512577,398357,334673,80824,271628,14565,272126,123,2018
제주특별자치도,9,314058,3410812,3352150,58662,161258,142597,21147,48089,0,16419,39,2018
부산광역시,1,747922,24494000,15566090,8927910,311961,232256,88663,275139,0,4914,31,2019
대구광역시,1,853400,32378541,12971602,19406939,355950,322243,19591,195303,0,8634,52,2019
인천광역시,5,15335735,289347381,156889120,132458261,3565970,2879634,2386,499183,0,459971,350,2019
광주광역시,1,337860,9480000,3549399,5930601,581520,210767,46860,109340,0,3832,32,2019
대전광역시,1,695788,8762000,7233887,1528113,254150,323741,8043,146115,0,6598,49,2019
울산광역시,1,158500,2615000,982276,1632724,154272,95884,19398,0,71065,1608,16,2019
세종특별자치시,2,27818,296592,75082,221510,5118,2886,1500,1964,5500,334,3,2019
경기도,9,571443,8285336,4183076,4102260,100799,103853,49551,84696,38315,5831,45,2019
강원도,24,1334272,18220523,13074226,5146297,358587,317501,124150,260643,30797,18327,98,2019
충청북도,12,478517,6053389,4424760,1628629,186200,199842,66381,115886,18190,4458,44,2019
충청남도,15,628032,7798287,4460385,3337902,123126,107743,50074,165543,0,6560,66,2019
전라북도,13,824184,8688939,7315125,1373814,212112,194865,65490,130454,642,5178,80,2019
전라남도,62,1393247,18924810,12319507,6605303,401217,263391,126716,197889,41026,14624,241,2019
경상북도,33,1036089,15848095,8575382,7272713,353382,238994,103427,244105,550,14819,182,2019
경상남도,25,1511712,23926134,13672646,10253488,586586,364811,84311,279923,14565,12759,124,2019
제주특별자치도,10,460684,5832037,3420040,2411997,46731,75118,21317,48527,0,9966,34,2019
