행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
경기도,오산시,2011,64.9,109.3,168.3
경기도,시흥시,2011,60.7,182.2,300.4
경기도,군포시,2011,65.4,205.3,314.1
경기도,의왕시,2011,66.9,68.8,102.9
경기도,하남시,2011,65.3,85.6,131.1
경기도,용인시,2011,42.6,329.1,772.3
경기도,파주시,2011,70.8,308.6,436.0
경기도,이천시,2011,76.1,189.2,248.7
경기도,안성시,2011,77.4,226.5,292.6
경기도,김포시,2011,69.6,148.3,213.0
경기도,화성시,2011,69.9,228.9,327.4
경기도,광주시,2011,67.8,158.4,233.8
경기도,양주시,2011,64.5,117.3,181.8
경기도,포천시,2011,62.8,109.5,174.5
경기도,여주시,2011,-,-,-
경기도,경기 여주군,2011,89.1,287.4,322.7
경기도,연천군,2011,54.1,30.4,56.2
경기도,가평군,2011,31.9,19.0,59.5
경기도,양평군,2011,60.1,47.8,79.5
강원도,춘천시,2011,58.1,280.0,481.6
강원도,원주시,2011,69.7,241.0,346.0
강원도,강릉시,2011,65.1,228.3,350.5
강원도,동해시,2011,33.0,38.9,117.8
강원도,태백시,2011,81.2,70.3,86.6
강원도,속초시,2011,49.6,83.4,168.2
강원도,삼척시,2011,21.2,22.1,104.4
강원도,홍천군,2011,44.7,30.5,68.2
강원도,횡성군,2011,49.2,23.9,48.6
강원도,영월군,2011,43.2,17.9,41.4
강원도,평창군,2011,61.9,28.0,45.2
강원도,정선군,2011,46.6,22.6,48.5
강원도,철원군,2011,37.6,18.0,47.9
강원도,화천군,2011,33.6,14.3,42.6
강원도,양구군,2011,38.7,13.7,35.4
강원도,인제군,2011,26.5,17.5,66.0
강원도,고성군,2011,32.1,22.9,71.4
강원도,양양군,2011,26.7,10.2,38.2
충청북도,충북 청주시,2011,57.1,450.3,788.4
충청북도,충주시,2011,56.1,117.4,209.4
충청북도,제천시,2011,31.2,43.0,137.7
충청북도,청주시,2011,-,-,-
충청북도,충북 청원군,2011,70.1,121.1,172.8
충청북도,보은군,2011,61.3,27.6,45.0
충청북도,옥천군,2011,43.2,20.1,46.5
충청북도,영동군,2011,47.3,17.8,37.6
충청북도,진천군,2011,75.4,80.1,106.3
충청북도,괴산군,2011,40.3,12.6,31.3
충청북도,음성군,2011,53.8,53.3,99.0
충청북도,단양군,2011,47.4,19.9,42.0
충청북도,증평군,2011,56.8,21.6,38.0
충청남도,천안시,2011,69.9,651.8,932.1
충청남도,공주시,2011,60.8,82.4,135.5
충청남도,보령시,2011,47.0,49.2,104.7
충청남도,아산시,2011,48.7,117.3,241.0
충청남도,서산시,2011,55.9,95.0,170.0
충청남도,논산시,2011,54.0,94.3,174.5
충청남도,계룡시,2011,71.6,61.7,86.2
충청남도,당진시,2011,-,-,-
충청남도,금산군,2011,28.2,12.2,43.2
충청남도,충남 연기군,2011,26.2,13.7,52.3
충청남도,부여군,2011,64.3,37.3,58.0
충청남도,서천군,2011,40.6,15.7,38.7
충청남도,청양군,2011,43.7,12.4,28.4
충청남도,홍성군,2011,24.8,15.0,60.6
충청남도,예산군,2011,53.0,36.2,68.3
