,시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도
122,전라남도,56,502,11,118575,60404,92149,17014,23467,340,45132,0,54261,8173,2016
123,경상북도,18,837,21,240669,94455,109353,94889,29569,317,20262,59335,29772,41861,2016
124,경상남도,18,1594,24,431306,106318,273937,66635,55223,467,257718,114109,260062,204755,2016
125,제주특별자치도,5,276,13,20130,26845,42535,0,14851,101,3600,2,16949,62901,2016
127,서울특별시,5,2898,24,732645,0,373721,27689,59064,316,1187201,13985,329043,19589,2017
128,부산광역시,2,510,24,155142,20542,59729,9269,15898,74,228135,0,108819,9554,2017
129,대구광역시,1,480,24,90074,8201,55897,7920,7218,44,142511,2102,31274,20725,2017
130,인천광역시,9,878,10,287702,76805,144297,670,22687,76,332504,39072,202222,0,2017
131,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
132,대전광역시,1,320,24,92569,21508,48970,0,9278,41,179940,0,54933,0,2017
133,울산광역시,1,650,21,177998,44822,43262,46359,10387,66,177384,0,143739,17673,2017
134,세종특별자치시,1,45,24,12602,6260,25090,0,2290,21,0,0,21616,0,2017
135,경기도,26,5084,24,1325004,238708,712024,475179,158909,1077,1676604,33992,1089036,317257,2017
136,강원도,15,576,23,153847,54982,78273,39757,20988,239,0,35387,47151,94224,2017
137,충청북도,10,709,21,216200,80480,153352,3058,26881,251,178815,9,241153,34359,2017
138,충청남도,10,1081,24,323025,58828,113313,75918,29266,220,311608,0,176556,0,2017
139,전라북도,3,601,24,145575,23311,18403,60258,13431,102,217041,104647,111570,0,2017
140,전라남도,54,502,11,119192,60404,92149,17014,24905,352,39146,0,65210,340,2017
141,경상북도,18,830,21,240356,93626,106520,94889,30558,322,21416,47975,115038,229082,2017
142,경상남도,17,1554,24,429153,106318,273936,66635,55510,468,266136,114323,220164,191824,2017
143,제주특별자치도,5,276,14,65942,26845,42535,0,19958,108,426,15,31942,82901,2017
145,서울특별시,5,2898,24,745654,0,373721,27689,66668,315,1223629,15701,328208,21667,2018
146,부산광역시,2,510,24,155101,20542,59729,9269,13839,74,252026,0,86736,9236,2018
147,대구광역시,1,480,24,89394,8201,55897,7920,8048,48,131554,2279,30402,30277,2018
148,인천광역시,9,998,10,269884,76805,144297,670,22548,106,322711,17578,222585,12572,2018
149,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,2018
150,대전광역시,1,320,24,88599,21508,48970,0,9624,42,166346,0,62172,0,2018
151,울산광역시,1,650,24,179823,44822,43262,46359,7678,66,182429,0,186515,8551,2018
152,세종특별자치시,1,45,24,12986,6260,25090,0,2916,21,0,0,23604,0,2018
