region,yr,life_waste,life_waste_per_pop,pop,total_recycle,total_waste,recycle_ratio,income_indivisual,corp_activated,corp_recycled_waste,corp_sales_amount,corp_total_sales,total_amount_daily,total_recycled_daily,total_cremation
제주특별자치도,2014,976.2,3.5,594623,547.1,976.2,56.04384347469781,15329,142,187103,222994,41099135,9314.400000000001,6429.000000000001,179.3
강원도,2015,2031.6,24.8,1543640,1018.3000000000003,2031.6,50.12305571962986,16311,337,3242458,1776236,75195768,15494.999999999998,14153.4,463
경기도,2015,11467.099999999999,32.4,12366711,6752.500000000001,11467.099999999999,58.885856057765274,18069,1933,5489047,3450915,1469316080,80911.00000000003,66350.6,3684.7
경상남도,2015,3496.4,18.2,3351038,1822.6999999999996,3496.4,52.13076307058687,17411,1163,2788863,2174946,368075212,434651.19999999995,233430.4,1130.5000000000002
경상북도,2015,2805,23.9,2699275,1282.1999999999996,2805,45.71122994652405,16550,1274,5119361,5333584,883026033,682590.1000000002,434465.3,794.9
전라북도,2015,1831.2,11.499999999999998,1871018,1069.8,1831.2,58.420707732634334,16239,583,1827606,1481393,197465531,296076.2,186124.70000000004,369.8
충청남도,2015,2579.1,17,2063050,1474.3999999999999,2579.1,57.16722887829088,16703,574,3744427,3976351,383900977,45226.200000000004,40691.600000000006,781.3
충청북도,2015,1680.6000000000001,11.200000000000001,1578531,945.4,1680.6000000000001,56.25371890991312,16531,670,3576010,1463579,424957195,23960.40000000001,20821.600000000002,513.6999999999999
광주광역시,2015,1272.9,4.7,1476891,787.3,1272.9,61.85089166470264,17459,189,610504,465935,120918053,5033,4396.1,270.1
대구광역시,2015,2966.5,10.8,2492658,1434,2966.5,48.33979437047025,17226,259,1031520,873058,304747252,12488.9,9922.000000000002,356.5
대전광역시,2015,1589.8,5.4,1531287,1065.9,1589.8,67.04616932947542,18229,86,160640,121652,17254672,66520.1,37538,249.79999999999998
부산광역시,2015,3366.4,16.4,3517898,2647.1,3366.4,78.63296102661596,17044,211,604076,1459448,71233738,7097863,6247121,446.6
서울특별시,2015,9438.699999999999,26.699999999999996,10104515,6501.400000000001,9438.699999999999,68.88024833928402,20857,10,15156,15156,471953,42067.200000000004,35653.499999999985,2218.4
울산광역시,2015,1551.4999999999998,6.6,1167232,841.6,1551.4999999999998,54.24427972929424,21348,371,1711015,2549245,364554640,13450.900000000001,9906.1,582.9000000000001
