"행정구역별","폐기물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"수성구","합계","재활용[톤/일]","톤/일","933","1122.8","1019.7","1005.9","972.8","1073.2","1051.9","6975.2","1503.8","1680.5",
"수성구","생활계폐기물","발생량[톤/일]","톤/일","399","373.4","404.9","415.1","415.1","448.7","420.6","459.6","442.7","465.3",
"수성구","생활계폐기물","재활용[톤/일]","톤/일","114","230.3","239.8","230.5","230.5","250.6","227.5","313.7","362.4","370.2",
"수성구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","11","11.8","15.8","12.8","12.8","12.8","9.9","15.4","13.2","19.1",
"수성구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","10","10.9","15.5","12.5","12.5","11.3","9.3","15","13","18.6",
"수성구","건설폐기물","발생량[톤/일]","톤/일","813","884.3","765.4","731.7","731.7","823.8","804.9","1144.4","1134","1293.7",
"수성구","건설폐기물","재활용[톤/일]","톤/일","809","880.3","763.1","729.8","729.8","811.2","802.2","1129.4","1128","1291.6",
"수성구","지정폐기물","발생량[톤/일]","톤/일","2","447.1","1020.9","1.2","1.2","1.5","14.7","6761.2","3","5.4",
"수성구","지정폐기물","재활용[톤/일]","톤/일","1","1.3","1.3","33.1","-",".1","12.9","5517.1",".4",".1",
"수성구","전년도이월량","발생량[톤/일]","톤/일","-","-",".2","-","-","0","0",".1","0","0",
"수성구","당해년도발생량","발생량[톤/일]","톤/일","2","447.1","1020.7","1.2","1.2","1.5","14.7","6761.1","3","5.4",
"달서구","합계","재활용률[%]","%","61.7","46.7","6.8","64.2","65.8","65.7","64.3","37.9","74.9","82.3",
"달서구","합계","발생량[톤/일]","톤/일","2012","2660.5","21315.2","2102.4","2102.4","2093.8","2230.7","30722.8","2027.5","2204.7",
"달서구","합계","재활용[톤/일]","톤/일","1241","1241.8","1440","1350","1383.1","1375.5","1434.2","11654.4","1519.4","1815.4",
"달서구","생활계폐기물","발생량[톤/일]","톤/일","529","535.3","582.6","587.4","587.4","622","733","679.3","666.3","637",
"달서구","생활계폐기물","재활용[톤/일]","톤/일","130","297.7","297.3","313.6","313.6","331.2","339.4","428.6","455.8","448.2",
"달서구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","428","488.4","588.8","601.7","601.7","452.1","574","698.6","473.9","365.5",
"달서구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","107","77.1","191.1","218.1","218.1","87","236.3","246.5","233.2","216.6",
"달서구","건설폐기물","발생량[톤/일]","톤/일","978","874.9","954.4","823.8","823.8","936.3","844.2","828.2","805.7","1117.9",
"달서구","건설폐기물","재활용[톤/일]","톤/일","971","867","951.6","818.3","818.3","930.2","830.6","816.9","801.6","1116.2",
"달서구","지정폐기물","발생량[톤/일]","톤/일","77","761.9","19189.4","89.5","89.5","83.4","79.5","28516.7","81.6","84.3",
"달서구","지정폐기물","재활용[톤/일]","톤/일","33","-","-","-","33.1","27.1","27.9","10162.4","28.8","34.4",
"달서구","전년도이월량","발생량[톤/일]","톤/일","1",".1","93.6",".5",".5",".3",".2","180.3",".2",".2",
"달서구","당해년도발생량","발생량[톤/일]","톤/일","77","761.8","19095.8","89","89","83.1","79.3","28336.4","81.4","84.1",
"달성군","합계","재활용률[%]","%","84","79.9","13.2","77","77","83","85.2","52.8","76.3","76.8",
"달성군","합계","발생량[톤/일]","톤/일","1792","2246","15982.5","1995.8","1995.8","2173.3","2490.3","32778.5","2146.6","2402.5",
"달성군","합계","재활용[톤/일]","톤/일","1506","1794.1","2109.2","1535.9","1535.9","1804.7","2122.7","17293","1637.8","1845.4",
"달성군","생활계폐기물","발생량[톤/일]","톤/일","210","228.4","225.4","233.6","233.6","227.2","266.4","253.8","270.3","287.7",
"달성군","생활계폐기물","재활용[톤/일]","톤/일","108","154.4","148.3","149.7","149.7","133.2","154.9","151.9","212.6","217.2",
"달성군","사업장배출시설계폐기물","발생량[톤/일]","톤/일","669","694.2","844.1","798.9","798.9","825.9","855.6","880.1","1097.3","1131.2",
"달성군","사업장배출시설계폐기물","재활용[톤/일]","톤/일","500","470.4","560.1","448.3","448.3","595.9","641.5","555","691.8","696.8",
"달성군","건설폐기물","발생량[톤/일]","톤/일","886","1171.8","1413.5","904.2","904.2","1057.5","1300.7","832.7","689.8","878.9",
"달성군","건설폐기물","재활용[톤/일]","톤/일","884","1169.3","1400.8","899","899","1033","1282.2","796.4","685","873.2",
"달성군","지정폐기물","발생량[톤/일]","톤/일","27","151.6","13499.5","59.1","59.1","62.7","67.6","30811.9","89.2","104.7",
"달성군","지정폐기물","재활용[톤/일]","톤/일","14","-","-","38.9","38.9","42.6","44.1","15789.7","48.4","58.2",
"달성군","전년도이월량","발생량[톤/일]","톤/일","-","-","93.5",".3",".3",".2",".1","2805.2",".4",".6",
"달성군","당해년도발생량","발생량[톤/일]","톤/일","27","151.6","13406","58.8","58.8","62.5","67.5","28006.7","88.8","104.2",
"인천광역시","합계","재활용률[%]","%","45","46.2","5.5","9.6","57.8","56","56.9","57.1","62.7","82.8",
"인천광역시","합계","발생량[톤/일]","톤/일","14811","291963","297820.6","316200.9","322657.3","323384.8","333852.1","335765.2","358882.2","27229.7",
"인천광역시","합계","재활용[톤/일]","톤/일","6662","134977","16392.6","30380","186364.5","181095.2","190116.3","191862.3","225123.1","22543.7",
"인천광역시","생활계폐기물","발생량[톤/일]","톤/일","2122","2317","2177.6","1933.2","2412.7","1746","1750","1795","2266.3","2775.4",
"인천광역시","생활계폐기물","재활용[톤/일]","톤/일","1249","1495","1402.1","1168.4","1621.8","965.2","972.5","1001.6","1322.6","1659.6",
"인천광역시","사업장배출시설계폐기물","발생량[톤/일]","톤/일","12689","8960","8669.5","6495","8948.9","9371.8","9701.7","11569.8","10649.4","10678.5",
"인천광역시","사업장배출시설계폐기물","재활용[톤/일]","톤/일","5413","5823","4744.6","4348.9","5182.8","6355.4","6122.9","7839.8","8161.1","7697.4",
"인천광역시","건설폐기물","발생량[톤/일]","톤/일","-","10074","10441.9","8725.7","8906.5","8140.4","9616.5","9616.5","9585.5","12818.1",
"인천광역시","건설폐기물","재활용[톤/일]","톤/일","-","9772","10175.7","8327.5","8584.9","7846.6","9208.2","9208.2","9257.5","12592.9",
"인천광역시","지정폐기물","발생량[톤/일]","톤/일","-","270611","276531.6","299047","302389.2","304126.6","312783.9","312783.9","336381","957.7",
"인천광역시","지정폐기물","재활용[톤/일]","톤/일","-","117888","70.2","16535.2","170975","165928","173812.7","173812.7","206381.9","593.8",
"인천광역시","전년도이월량","발생량[톤/일]","톤/일","-","3661","3224.4","4500.7","4851.3","3626","4021.6","4021.6","2321.1","10.7",
"인천광역시","당해년도발생량","발생량[톤/일]","톤/일","-","266950","273307.2","294546.3","297537.9","300500.6","308762.3","308762.3","334059.9","947",
"중구","합계","재활용률[%]","%","52.8","77.6","6.4","6.3","50.7","56.4","60.9","60.8","66.7","83.5",
"중구","합계","발생량[톤/일]","톤/일","529","11133","20113.3","20070.8","20029.6","16512.2","22045.9","22153.8","25914.6","1897.5",
"중구","합계","재활용[톤/일]","톤/일","280","8644","1287.9","1267.9","10149.9","9313.5","13432.4","13480.1","17286","1585",
"중구","생활계폐기물","발생량[톤/일]","톤/일","226","205","207.7","195.9","104.7","109.8","102.6","127.1","219","324.3",
"중구","생활계폐기물","재활용[톤/일]","톤/일","143","120","123.8","118","49.1","50.2","42","68.8","134.3","176.1",
"중구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","304","517","309.8","244.8","371.7","490.7","758.7","842.1","791","653.3",
